,job_title,job_link,company_name,salary,job_location,job_requirements,job_classifiation,short_description,salary_ind
515,Contract Administrator/Planner,/job/54908921?type=standout#searchRequestToken=84a600f9-5276-4232-974b-dfd6ada53309,Fulton Hogan,Rewarding pay + growth opportunities!!,Auckland,"['Albany Location', 'High impact role with great career progression', 'Permanent Full time & Guaranteed 40 hours']",Administration & Office Support,Are you after fantastic variety in a role which you will find rewarding?,0-60000
516,Registered Electrician,/job/54979150?type=standard#searchRequestToken=84a600f9-5276-4232-974b-dfd6ada53309,,,Auckland,,Trades & Services,Coll Electrical is currently seeking an experienced NZ registered electrician with a proven track record of quality workmanship.,0-60000
517,Risk Consultant,/job/54991206?type=standout#searchRequestToken=84a600f9-5276-4232-974b-dfd6ada53309,Aon New Zealand,,Auckland,"['Join a successful team within a leading global professional services firm', 'Be a key contributor in a collaborative environment', 'Leverage your experience in risk management or professional services']",Insurance & Superannuation,Are you looking to leverage your experience in risk management or professional services into an exciting new career?,0-60000
518,Customer Service/Admin,/job/54940686?type=standout#searchRequestToken=84a600f9-5276-4232-974b-dfd6ada53309,Adecco Office,$58k - $60k p.a.,Auckland,"['Mt Wellington location', 'Parking at the door', 'Variety Plus']",Administration & Office Support,"Are you an organized, disciplined multi-tasker where top customer service is your priority?",0-60000
519,Trades Resource Administrator,/job/54928888?type=standout#searchRequestToken=84a600f9-5276-4232-974b-dfd6ada53309,Spotless Facility Services (NZ) Limited,,Wellington,"['Fantastic Career Opportunity', 'A supportive and inclusive culture', 'Great company benefits']",Administration & Office Support,"Fixed term (2 years), full time role as a Trade Administrator available.",0-60000
520,HCM Support Analyst - Join our Talent Network,/job/55137527?type=standard#searchRequestToken=84a600f9-5276-4232-974b-dfd6ada53309,Workday,,Auckland,,Information & Communication Technology,Come join our HCM support Analyst network! Do you have what it takes to continuously provide outstanding customer support? This is not a role...,0-60000
521,Design and evaluation lead (Kāhui Ako) – mathematics,/job/55278964?type=standard#searchRequestToken=84a600f9-5276-4232-974b-dfd6ada53309,Wellington East Girls College,,Wellington,,Education & Training,"We require a well-qualified, experienced and dynamic teacher to help lead the teaching of maths for 2022....",0-60000
522,Mathematics,/job/55234795?type=standard#searchRequestToken=84a600f9-5276-4232-974b-dfd6ada53309,Fairfield College,,Waikato,,Education & Training,We are particularly looking for a teacher that is capable of teaching our mathematics with statistics Y12 and Y13 programmes. Experience of...,0-60000
523,Teacher of science (physics),/job/55234809?type=standard#searchRequestToken=84a600f9-5276-4232-974b-dfd6ada53309,Sancta Maria College,,Auckland,,Education & Training,We are seeking an enthusiastic and highly skilled teacher of science (experience teaching NCEA Level 3 physics will be advantageous) for a full...,0-60000
524,Planning Systems Administrator,/job/55293638?type=standout#searchRequestToken=84a600f9-5276-4232-974b-dfd6ada53309,ANZCO Foods Limited,,Canterbury,"['Do you have experience and understanding of basic IT principles?', 'Bring your strong technical expertise', 'Enjoy having a competitive salary']",Administration & Office Support,Bring your data experience to ANZCO Foods in this newly created position.,0-60000
525,Digital Trading Coordinator,/job/55285593?type=standout#searchRequestToken=84a600f9-5276-4232-974b-dfd6ada53309,Woolworths NZ Ltd,,Auckland,"['Great career opportunity in Digital Trading', 'Hone your skills in data optimisaiton and your SEO lens', ""Join one of Aotearoa's largest digital retailers""]",Marketing & Communications,Come and join Countdown's eCommerce practice as a Digital Trading Coordinator!,0-60000
526,Contracts Administrator,/job/55307909?type=standard#searchRequestToken=84a600f9-5276-4232-974b-dfd6ada53309,Battered Women's Trust,,Canterbury,,Administration & Office Support,"Experienced Contracts Administrator required, responsible for accountabilities, data analysis with a passion to support work with vulnerable families.",0-60000
527,Quality Assurance Technician - Chip Sealing,/job/55269218?type=standout#searchRequestToken=84a600f9-5276-4232-974b-dfd6ada53309,DOWNER NZ,Rewarding pay rate + company benefits and growth!,Bay of Plenty,"['Have interest/experience in maintaining accurate records and data management', 'We are a company that truly supports training and development', 'Rewarding pay, tools of trade provided and access to exclusive benefits!']",Construction,Are you a critical thinker with an eye for detail? Apply today to seal a career with Downer in this exciting opportunity in the Western Bay of Plenty!,0-60000
528,Help Support Energy Customers Globally as an Energy Specialist,/job/55162320?type=promoted#searchRequestToken=8313c39e-90c0-4679-8cff-e1a77f5e6a73,Octopus Energy,"$50,000 + share options in Octopus Energy Group",Wellington,"['Exciting culture in an a new, fun & sociable office. Drinks every Friday!', 'Rewarding work in Renewable Energy', 'Graduate & Entry Level Roles Available']",Call Centre & Customer Service,Bring your can-do attitude to help energy customers in the UK and join a global company driving the renewable energy revolution.,0-60000
529,LENDING CONSULTANT,/job/55210435?type=promoted#searchRequestToken=8313c39e-90c0-4679-8cff-e1a77f5e6a73,Aotea Finance Limited,,Auckland,"['FUN TEAM', 'GOAL ORIENTATED ENVIRONMENT', 'MANUKAU BASED']",Banking & Financial Services,A FUN AND DRIVEN TEAM OF LENDING CONSULTANTS LOOKING FOR ANOTHER X-FACTOR TEAM MEMBER.,0-60000
530,Pedestrian Mapping Operator,/job/55236469?type=standard#searchRequestToken=8313c39e-90c0-4679-8cff-e1a77f5e6a73,TechMahindra,,Auckland,,Science & Technology,Pedestrian collection of data which involves walking designated routes equipped with a sensor mounted in a pack carried by the operator.,0-60000
531,Senior PM,/job/55317658?type=standout#searchRequestToken=8313c39e-90c0-4679-8cff-e1a77f5e6a73,Talent Vault Ltd,,Auckland,"['large PMO with great IT Projects', 'Flexible work locations', 'Must be double vaccinated']",Information & Communication Technology,Senior PM (x2) - Data Lakes or Business Systems,0-60000
532,Mapping Operator / Technical Navigator,/job/55235262?type=standard#searchRequestToken=8313c39e-90c0-4679-8cff-e1a77f5e6a73,TechMahindra,$25 - $29.99 per hour,Auckland,,Information & Communication Technology,Mapping data collection throughout all of New Zealand. 100% travel.,0-60000
533,Trade Sales Support,/job/55254253?type=standout#searchRequestToken=8313c39e-90c0-4679-8cff-e1a77f5e6a73,CARTERS,A competitive remuneration package,Auckland,"['Do you have fast and accurate data entry skills?', 'Bring your excellent communication and computer skills to this busy environment', 'Forge a long-term career with promotional opportunities']",Sales,Work with us and not for us at Carters.,0-60000
534,Nursery Quality Controller,/job/55253365?type=standout#searchRequestToken=8313c39e-90c0-4679-8cff-e1a77f5e6a73,Timberlands Limited,,Bay of Plenty,"['Take full ownership of the quality checking, auditing and record keeping process', 'An opportunity to train and develop your skills', 'Base salary, annual performance bonus, suite of insurances + more!']","Farming, Animals & Conservation","Seeking a technology savvy person, who has an eye for detail, comfortable training staff and collecting & recording data.",0-60000
535,Full-time Administration and Office Support,/job/55207851?type=standout#searchRequestToken=8313c39e-90c0-4679-8cff-e1a77f5e6a73,Diamond Drycleaning Company Ltd,,Hawkes Bay,,Administration & Office Support,"Do you have great attention to detail, diligent / accurate with data-entry and have the ability to multi-task?",0-60000
536,Technician Water Quality,/job/55245240?type=standout#searchRequestToken=8313c39e-90c0-4679-8cff-e1a77f5e6a73,West Coast Regional Council,,West Coast,"['A keen interest in the natural environment', 'Be involved with the collection and management of environmental data', 'Regular fieldwork as well as practical tasks']",Science & Technology,The West Coast Regional Council are looking for someone with a keen interest in the natural environment to join their science team.,0-60000
537,EAN / EDI Administrator,/job/55082870?type=standard#searchRequestToken=8313c39e-90c0-4679-8cff-e1a77f5e6a73,DMS Progrowers Ltd,,Bay of Plenty,,Administration & Office Support,"If you are someone who is all about data and accuracy, this might be the Te Puke based opportunity for you!",0-60000
538,EDI/EAN Administrator,/job/55062473?type=standard#searchRequestToken=8313c39e-90c0-4679-8cff-e1a77f5e6a73,DMS Progrowers Ltd,,Bay of Plenty,,Administration & Office Support,"If you are someone who is all about data and accuracy, this might be the Te Puna based opportunity for you!",0-60000
539,Customer service representative/ Trade sales support,/job/55220654?type=standout#searchRequestToken=8313c39e-90c0-4679-8cff-e1a77f5e6a73,CARTERS,A competitive remuneration,Wellington,"['Do you have fast and accurate data entry skills?', 'Bring your excellent communication and computer skills to this busy environment', 'Nationwide industry with great benefits including super & health']",Call Centre & Customer Service,CARTERS will make you look forward to Mondays again with this new opportunity,0-60000
540,Customer Service,/job/55258390?type=standard#searchRequestToken=8313c39e-90c0-4679-8cff-e1a77f5e6a73,Kinetic Recruitment,,Auckland,,Call Centre & Customer Service,"A great people based role; support & take sales orders & deliveries plus some data entry, in an established & respected company; small friendly team",0-60000
541,Internal Account Manager,/job/55305051?type=standout#searchRequestToken=8313c39e-90c0-4679-8cff-e1a77f5e6a73,Graham Consulting Auckland,,Auckland,"['Leading the way in data, communications and security technology', 'Grow a portfolio of accounts and venture into a career of sales', 'Mt Wellington Location']",Sales,"Looking to get into IT sales, then this Account Manager role is the perfect stepping stone to establish a new career path with a fortune 500 company.",0-60000
542,DIRECT MARKETING EXECUTIVE,/job/55291193?type=standout#searchRequestToken=8313c39e-90c0-4679-8cff-e1a77f5e6a73,Pohlen Partners,,Auckland,"['Loved and instantly recognisable brands', 'Exceptional career role for a digital specialist looking for their next step', 'Utilise your expertise in turning data driven insights into engaging content']",Marketing & Communications,Make an impact creating engaging content and contributing to the ongoing success of well-loved businesses,0-60000
543,Clinical Administrator,/job/55219902?type=standout#searchRequestToken=8313c39e-90c0-4679-8cff-e1a77f5e6a73,Kin,,Wellington,"['Support clinical service delivery', 'Purpose-driven organisation, working for women and children', 'Work closely with clinicians and operations exec']",Community Services & Development,"Manage client records and data, coordinate and support service delivery, welcome and guide.",0-60000
544,Advancement and Events Coordinator,/job/55151531?type=standard#searchRequestToken=8313c39e-90c0-4679-8cff-e1a77f5e6a73,Christ's College,,Canterbury,,Marketing & Communications,"College is seeking an enthusiastic team player who has exceptional data analysis, communication and interpersonal skills to join our Advancement Team.",0-60000
545,Reception/Administration,/job/55278745?type=standard#searchRequestToken=8313c39e-90c0-4679-8cff-e1a77f5e6a73,Tait Mobile Radio,,Wellington,,Administration & Office Support,"General Reception duties.
Data Entry.
Accounts Payable and Recievable.
Invoicing.
Handling everyday running of office",0-60000
546,Calibration Technician,/job/55283605?type=standout#searchRequestToken=8313c39e-90c0-4679-8cff-e1a77f5e6a73,MetService,,Wellington,"['Work effectively unsupervised or as a team member', 'Build and maintain effective working relationships', 'Assist with coaching junior staff as required']",Trades & Services,Come and operate our MetService calibration facility to support our high-quality data acquisition network throughout New Zealand.,0-60000
548,Structural Steel Detailer,/job/55281986?type=standard#searchRequestToken=8313c39e-90c0-4679-8cff-e1a77f5e6a73,Masibanda Construction Engineering,"$55,000 - $69,999",Canterbury,,Engineering,Work with the latest technology to provide construction data for steel structures,0-60000
550,Direct Marketer,/job/55169312?type=promoted#searchRequestToken=1a0c67f8-a272-4074-a0ca-9c3dbe6d839b,HRV Waikato,,Waikato,,Call Centre & Customer Service,"An exciting opportunity in our thriving Direct Marketing Team. We are looking for someone with drive, and a great team spirit to join our team.",0-60000
551,Health & Safety Coordinator,/job/55015349?type=promoted#searchRequestToken=1a0c67f8-a272-4074-a0ca-9c3dbe6d839b,Mataura Valley Milk,,Southland,"['Fantastic opportunity to influence and lead H&S practices site wide', 'Career progression & great support while you develop as a H&S professional', 'Exciting opportunity to be part of an innovative and fast growing company']","Manufacturing, Transport & Logistics",The H&S Coordinator will support the H&S Manager in executing H&S systems as well as reporting and advising in order to ensure full legal compliance,0-60000
552,Packaging Coordinator,/job/55147452?type=standard#searchRequestToken=1a0c67f8-a272-4074-a0ca-9c3dbe6d839b,DMS Progrowers Ltd,,Bay of Plenty,,"Manufacturing, Transport & Logistics","If you have a keen eye for detail and have accurate data entry skills, this may be the role for you!",0-60000
553,Site Administrator (Part-Time or Full-Time),/job/55255086?type=standout#searchRequestToken=1a0c67f8-a272-4074-a0ca-9c3dbe6d839b,Bt Mining Limited,,West Coast,"['A combination of working in a town office and one day a week on the Mine Site', 'Full Time or Part Time contract basis', 'Working with a variety of systems and alongside different departments and people']",Administration & Office Support,Capturing mining essential data into our system and providing clerical support for different departments.,0-60000
554,Office Administrator,/job/55167363?type=standout#searchRequestToken=1a0c67f8-a272-4074-a0ca-9c3dbe6d839b,Bryce O'Sullivan Contracting Ltd,,Wellington,,Administration & Office Support,"Seeking an Office Administrator to support Managers with admin duties, data entry and to contribute to the delivery of high quality support",0-60000
555,Accounts Payable/Payroll Assistant,/job/55053899?type=standout#searchRequestToken=1a0c67f8-a272-4074-a0ca-9c3dbe6d839b,Graham Consulting Auckland,,Auckland,"['Atlas Gentech – leading the way in data, communications, and security technology', 'Big presence while siting in close knit finance team', 'WFH L3 – Mt Wellington, Auckland location']",Accounting,"Join a Fortune 200 company who have an extensive local and global footprint, and who support the development of their people.",0-60000
556,Field Technician,/job/55281985?type=standout#searchRequestToken=1a0c67f8-a272-4074-a0ca-9c3dbe6d839b,OceanaGold (New Zealand) Ltd,,Otago,"['Do you have data entry and administration experience?', 'Help ensure all incidents and hazards are reported', 'Work for a multinational gold producer']","Mining, Resources & Energy",OceanaGold's Macraes Mine is seeking Field Technicians to join the exploration team.,0-60000
557,Administration Assistant,/job/55189835?type=standout#searchRequestToken=1a0c67f8-a272-4074-a0ca-9c3dbe6d839b,Ryan Recruitment Limited,,Canterbury,"['Opportunities with leading New Zealand businesses', 'Immediate starts for short and long term assignments', 'Range of roles from EA, Receptionist, Customer Service, Data Entry etc.']",Administration & Office Support,We are currently taking expressions of interest from people looking for temporary work opportunities in Office Support - from EA to office junior!,0-60000
558,Project Geologist,/job/55097759?type=standard#searchRequestToken=1a0c67f8-a272-4074-a0ca-9c3dbe6d839b,Verum Group,,Canterbury,,"Mining, Resources & Energy","Project Geo-scientist role with Verum Group based in Christchurch.Collect, interpret, model and report geological and environmental science data.",0-60000
559,Planning Coordinator (9 months contract) – East Tamaki,/job/55219176?type=standout#searchRequestToken=1a0c67f8-a272-4074-a0ca-9c3dbe6d839b,Boehringer Ingelheim - Animal Health New Zealand,,Auckland,"['Primary responsibility for Planning & Inventory Management', 'ERP/SAP data maintenance', 'Backup/support of Planning manager functions']","Manufacturing, Transport & Logistics",Planning Coordinator (9 months contract) – East Tamaki OUR COMPANY At Boehringer Ingelheim we develop breakthrough therapies that improve the,0-60000
560,Transaction Certificate Administrator,/job/55015995?type=standout#searchRequestToken=1a0c67f8-a272-4074-a0ca-9c3dbe6d839b,The New Zealand Merino Company,,Canterbury,"['Award winning office in the CBD', 'Purpose led organisation', 'Be part of a small but ambitious team']",Administration & Office Support,"Looking for a superstar with experience in administrative and data management tasks, to will support the traceability of wool sold.",0-60000
561,Administrator,/job/55191463?type=standout#searchRequestToken=1a0c67f8-a272-4074-a0ca-9c3dbe6d839b,Fletcher Building Limited,,Manawatu,"['Accurate and precise data entry skills with high attention to detail', 'Computer savvy with ability to pick up new systems quickly', 'Previous admin experience essential, ideally within the construction industry']",Administration & Office Support,"Experienced admin position to support the estimating team. Prior experience in the construction industry desirable. Varied role, no two days the same!",0-60000
562,Senior Registry Administrator,/job/55208719?type=standout#searchRequestToken=1a0c67f8-a272-4074-a0ca-9c3dbe6d839b,Trustees Executors,,Wellington,"['Do you have experience in a managed funds?', 'Bring your ability to lead a team in multi-tasking', 'Five weeks annual leave']",Administration & Office Support,We have an exciting opportunity for a data administration specialist to join our Member and Investor Services team.,0-60000
563,Administrator - Seed & Plant Health,/job/55270628?type=standout#searchRequestToken=1a0c67f8-a272-4074-a0ca-9c3dbe6d839b,AsureQuality Ltd,"$45,918 per annum",Manawatu,"['40 hours per week | Standard office hours, Monday - Friday', 'Fixed Term Contract | mid January 2022 - end of June 2022', 'Join our friendly and positive workplace environment']",Administration & Office Support,"Complete administration, data entry and customer service tasks to support the daily operations of our Seed Laboratory in Palmerston North.",0-60000
564,Financial Services Administrator - Secondment/Fixed Term to 30 June 2022,/job/55238831?type=standout#searchRequestToken=1a0c67f8-a272-4074-a0ca-9c3dbe6d839b,Ministry of Social Development,,Bay of Plenty,"['Do you have good numerical and communication skills?', 'Are you proactive with solutions-focused attitude?', 'Can you juggle multiple priorities with a smile on your face?']",Accounting,"Bring your strong numerical and communication skills, along with data entry abilities to our busy National Accounting Centre.",0-60000
565,Retail Sales,/job/55202067?type=standout#searchRequestToken=1a0c67f8-a272-4074-a0ca-9c3dbe6d839b,Top of the South Mobile,,Tasman,"['Full time hours, Monday to Sunday on a roster basis.', 'Uncapped Commission earning potential']",Retail & Consumer Products,"An attractive remuneration package including OTE - commission, kiwi saver, benefits, and incentives.
A phone plan with unlimited calls,texts, data.",0-60000
566,Customer Service Representative - Order Entry Clerk - 6 month contract,/job/55266618?type=standout#searchRequestToken=1a0c67f8-a272-4074-a0ca-9c3dbe6d839b,GWA Group Limited,,Auckland,"['Data entry and customer service', 'Work for a busy and fun team based in Avondale', '6 month contract on offer! Start now or in January! Two roles on offer!']",Call Centre & Customer Service,Bring your superstar customer service skills and join our team. 2 x contract positions available!,0-60000
567,Customer Service Representative,/job/55078755?type=standout#searchRequestToken=1a0c67f8-a272-4074-a0ca-9c3dbe6d839b,Gunn Talent,Generous salary,Auckland,"['Calling all data entry experts with solid customer service skills!', ""Incredible new 'state of the art' office premises with free onsite parking"", 'Friendly, dynamic company culture in a business that truly values their staff']",Call Centre & Customer Service,If you have been looking for a position that will keep you on your toes and allow you to continue learning every day - this is for you!,0-60000
569,Administration Assistant - East Tamaki,/job/55029854?type=standout#searchRequestToken=1a0c67f8-a272-4074-a0ca-9c3dbe6d839b,CARTERS,Great salary + Super + Health + Benefits!,Auckland,"['Training & development with progression opportunities', 'Enjoy variety in the role and a great team culture', 'Forge a long-term career with CARTERS Auckland Manufacturing']",Administration & Office Support,"If you have great attention to detail, fast accurate data entry, strong time management skills & ability to prioritise, you will thrive!",0-60000
570,Marketing Coordinator,/job/55030616?type=standout#searchRequestToken=1a0c67f8-a272-4074-a0ca-9c3dbe6d839b,Tailor Skincare,,Wellington,"['We need a data driven content creator', 'Where communication meets sales and marketing', 'A role for anyone who thrives on communication and building relationships']",Marketing & Communications,Create engaging content and execute marketing strategies while maintaining Tailor Skincare’s brand identity across all business channels.,0-60000
571,Front End Developer,/job/55247282?type=standard#searchRequestToken=1a0c67f8-a272-4074-a0ca-9c3dbe6d839b,Motiv Solutions Ltd,,Auckland,,Information & Communication Technology,An exciting role for a leading front end developer within New Zealand's premier IoT solutions company at a time of pivotal growth.,0-60000
572,CRM Specialist - Data Analytics,/job/55317184?type=promoted#searchRequestToken=d2a4255e-e9ae-468d-a9d0-b9792bce2c55,BP,,Auckland,"['Work in an agile environment', 'Flexible working arrangements', 'An organisation that supports internal development']",Marketing & Communications,"Are you a data driven analyst with proven track record for CRM, analytics and reporting in the retail or loyalty program arena? Join our team today!",60000-80000
574,Data Analyst,/job/55322088?type=standout#searchRequestToken=d2a4255e-e9ae-468d-a9d0-b9792bce2c55,Enlighten Designs Ltd,,Waikato,,Information & Communication Technology,"Due to growth both within the NZ and US markets,  we’re on the lookout for someone who can join our data and analytics team and work seamlessly with o",60000-80000
576,Data & Insights Analyst,/job/55311659?type=standout#searchRequestToken=d2a4255e-e9ae-468d-a9d0-b9792bce2c55,New Zealand Steel,,Auckland,,Marketing & Communications,"Reporting to the Pricing & Insights Reporting Manager, this role is a key member of the Pricing & Insights Team.",60000-80000
577,Performance Data Analyst,/job/55316914?type=standout#searchRequestToken=d2a4255e-e9ae-468d-a9d0-b9792bce2c55,Howick and Eastern Buses Limited - Sheryll Otway,,Auckland,"['Invigorating', 'A fast moving environment', 'What does the future hold for zero emission?']",Accounting,"Public Transport is a fast moving, challenging environment which just gets you hooked.  No day is the same!",60000-80000
578,Data Analyst – Auckland,/job/55295922?type=standout#searchRequestToken=d2a4255e-e9ae-468d-a9d0-b9792bce2c55,NZ Blood Service,,Auckland,"['Exciting opportunity to join dynamic Business Intelligence team', 'Improve and support ongoing and new IT projects', 'Use your skills for good and make a difference']",Information & Communication Technology,Get ready for new and exciting times with NZBS – join our Business Intelligence team.,60000-80000
580,Process Data Analyst - Tauranga,/job/55319043?type=standout#searchRequestToken=d2a4255e-e9ae-468d-a9d0-b9792bce2c55,Absolute IT Limited,,Auckland,"['Live and work in beautiful sunny Bay', 'Excellent permanent opportunity to start in 2022', 'Process Data analyst wanted for an exciting transformation programme']",Information & Communication Technology,"If you are great with data and you are looking for your next career challenge in Jan 2022, Apply Now!",60000-80000
582,Data Analyst/Supply Chain Analyst,/job/55324312?type=standout#searchRequestToken=d2a4255e-e9ae-468d-a9d0-b9792bce2c55,Fisher and Paykel Healthcare,Competitive salary + bonus + benefits,Auckland,"['Bring your technical skillset - SQL, Advanced Excel, Power BI, Python', 'You need to be able to present solutions not just data', 'Growing team with lots of career opportunities']","Manufacturing, Transport & Logistics","Fisher & Paykel Healthcare is a major New Zealand company, publicly listed on the NZ and Australian stock exchanges.",60000-80000
584,Customer Data Analyst,/job/55279050?type=standout#searchRequestToken=d2a4255e-e9ae-468d-a9d0-b9792bce2c55,Kiwibank,,Wellington,"['Use your analyst expertise to do great things for our customers.', 'It\'s a real ""feel-good"" role for 2022!', '12 month fixed term based in Lower Hutt with the flexibility to work from home.']",Banking & Financial Services,Use your powers of data analysis to ensure we are reaching out to all our customers who require our team to remediate their issues.,60000-80000
585,Data Analyst - CRM and Insights Focus,/job/55296600?type=standout#searchRequestToken=d2a4255e-e9ae-468d-a9d0-b9792bce2c55,ATCL Search,,Wellington,"['Be part of an innovative new organisation', 'Manage CRM, analyse, inform and identify insights', 'Diverse, inclusive, Te Tiriti based values']",Information & Communication Technology,Use your CRM analysis skills to inform the future of our industries,60000-80000
587,Master Data Steward,/job/55310603?type=standout#searchRequestToken=d2a4255e-e9ae-468d-a9d0-b9792bce2c55,Fisher and Paykel Healthcare,,Auckland,"['Great company benefits', 'Work life balance', 'Lots of people interaction']",Information & Communication Technology,Data is one of our most critical assets. We have an opportunity for an experienced individual to join our Data Team in the role of Master Data Steward,60000-80000
588,Customer Data Analyst,/job/55253285?type=standout#searchRequestToken=d2a4255e-e9ae-468d-a9d0-b9792bce2c55,Auckland Transport,Flexible Working,Auckland,"['Solid opportunity for career growth', 'Job Security', 'Fast paced environment']",Government & Defence,Design and develop actionable customer segmentations and predictive models to enable AT to connect with customers in a more meaningful way.,60000-80000
590,Sales and Marketing Data Analyst,/job/55295954?type=standout#searchRequestToken=d2a4255e-e9ae-468d-a9d0-b9792bce2c55,solarZero,,Auckland,"['Market Leading salary and benefits, with ongoing PD and career opportunies', 'Flexible blend of office and home based working', 'Access to discounted partner products']",Sales,Work within the Marketing team as our Sales and Marketing Data Analyst Expert to support in the management of sales and marketing data.,60000-80000
592,Business Intelligence Specialist,/job/55306624?type=standard#searchRequestToken=d2a4255e-e9ae-468d-a9d0-b9792bce2c55,Greenpeace NZ,,Auckland,,Information & Communication Technology,Are you a skilled BI professional looking for real world impact? Would you like to grow as a BI expert? Then this role is for you!,60000-80000
593,Data Analyst,/job/55203646?type=standout#searchRequestToken=d2a4255e-e9ae-468d-a9d0-b9792bce2c55,The Co-operative Bank,,Wellington,"['Deliver timely and accurate data analytics and reporting', 'Interpret and translate data and the key insights into visual stories', 'Work collaboratively with other members of the Marketing & Products team']",Banking & Financial Services,Join our Data Analytics team as a Data Analyst!,60000-80000
617,Senior Analyst,/job/55305751?type=promoted#searchRequestToken=f148f7a8-bbe9-4855-9602-9a4ad04cd627,Industrial and Commercial Bank of China (New Zealand) Ltd,,Auckland,"['Outstanding team culture where staff produce excellent results', 'A fantastic opportunity to join an international famous Bank']",Banking & Financial Services,Senior Analyst in Corporate & Institutional Banking Wanted!,60000-80000
618,Business Performance Analyst,/job/55305252?type=standout#searchRequestToken=f148f7a8-bbe9-4855-9602-9a4ad04cd627,Fletcher Building Limited,,Auckland,"['Key role providing insights and governance', 'Ongoing development and growth in a complex environment', 'Full-time, permanent opportunity, flexible working, Penrose-based']",Accounting,"Newly created opportunity, key frontline role working with BI tools to support business performance by providing insights and governance",60000-80000
619,Data & Insights Analyst,/job/55266405?type=standout#searchRequestToken=f148f7a8-bbe9-4855-9602-9a4ad04cd627,First Mortgage Managers Limited,,Auckland,"['Join a business as it continues on its growth path', 'Provide business and financial insights that makes a difference', 'Strong analysis, and reporting skills']",Information & Communication Technology,We have an exciting opportunity in a newly created role as an Financial/ Business Analyst. You will help drive continued growth in our business.,60000-80000
621,Data & Analytics Lead,/job/55281560?type=standout#searchRequestToken=f148f7a8-bbe9-4855-9602-9a4ad04cd627,Youth Horizons Trust,,Auckland,,Community Services & Development,Provide the analytical support required to improve and maintain visibility of organisational performance.,60000-80000
622,Digital Analyst,/job/55290320?type=standout#searchRequestToken=f148f7a8-bbe9-4855-9602-9a4ad04cd627,NZME,,Auckland,"['A diverse role, working with a modern and sophisticated data analytics stack', 'Analyse website and app data to identify insights and opportunities', 'Enjoy flexible working hours and work from home options']",Marketing & Communications,An amazing opportunity for an experienced Digital Analyst to join our team NZME.,60000-80000
625,Insights Analyst (12m Fixed Term),/job/55266264?type=standout#searchRequestToken=f148f7a8-bbe9-4855-9602-9a4ad04cd627,Loyalty New Zealand Limited,,Wellington,"['Unique opportunity within a rich data set', 'Creative, vibrant, fast paced organisation', 'Flexible work environment - work in office or mix it up and work from home!']",Marketing & Communications,"Fantastic opportunity to work in a close knit, vibrant and supportive team with a rich data set! Flexible working, great people - join the team now!",60000-80000
626,Data & Insights Analyst,/job/55261324?type=standout#searchRequestToken=f148f7a8-bbe9-4855-9602-9a4ad04cd627,First Mortgage Managers Limited,,Bay of Plenty,"['Join a business as it continues on its growth path', 'Provide business and financial insights that makes a difference', 'Strong analysis, and reporting skills']",Information & Communication Technology,We have an exciting opportunity in a newly created role as an Financial/ Business Analyst. You will help drive continued growth in our business.,60000-80000
628,Insights Analyst (12m Fixed Term),/job/55259334?type=standout#searchRequestToken=f148f7a8-bbe9-4855-9602-9a4ad04cd627,Loyalty New Zealand Limited,,Auckland,"['Unique opportunity within a rich data set', 'Creative, vibrant, fast paced organisation', 'Flexible work environment - work in office or mix it up and work from home!']",Marketing & Communications,"Fantastic opportunity to work in a close knit, vibrant and supportive team with a rich data set!",60000-80000
629,ANALYTICS & INSIGHTS SPECIALIST - FMCG,/job/55302239?type=standout#searchRequestToken=f148f7a8-bbe9-4855-9602-9a4ad04cd627,AUTHENTIC,,Auckland,"['Market leading New Zealand FMCG food business', 'Problem-solving role - analytics/data wrangling and improvement', 'FMCG experience - or finance/banking/telecoms - commercial nous is key']",Marketing & Communications,Key information and analytics role in market leading food business. Can you ask the real 'why' questions and make a difference with quality insights?,60000-80000
630,Media Analyst,/job/55319276?type=standout#searchRequestToken=f148f7a8-bbe9-4855-9602-9a4ad04cd627,Isentia,,Wellington,"['Use your innovative research & analysis skills to solve complex problems', 'Be client-facing and develop your stakeholder management skills', 'Range of benefits including 2 x paid volunteer days per year']",Marketing & Communications,Join Isentia as a Media Analyst in this exciting phase as we expand the reach of our insights practice and work with clients on the global stage,60000-80000
631,"Analyst Programmer, Markets Technology",/job/55316849?type=standout#searchRequestToken=f148f7a8-bbe9-4855-9602-9a4ad04cd627,BNZ,,Wellington,"['Enjoy amazing staff benefits, including 6 weeks annual leave!', 'Grow and develop your career within Financial Markets']",Information & Communication Technology,"This is a great opportunity to learn and grow within a high performing team and within an exciting, ever-changing business environment.",60000-80000
633,Business Insight Analyst,/job/55290769?type=standout#searchRequestToken=f148f7a8-bbe9-4855-9602-9a4ad04cd627,New Zealand Automobile Association Inc.,,Auckland,"['Newly created role', 'Lead key business relationships', 'Work across multiple industries']",Information & Communication Technology,We are on the lookout for a Business Insight Analyst to join on of our business units.,60000-80000
